# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Date,Country,Location,Perpetrator,Victim_Description,Victim_Age_Group,Victim_Count_Raw,Children_Involved_Context,Incident_Type,Source,Remarks
[cite_start]08-Mar-25,India,"Patoda town, Maharashtra",Police constable,Woman,Adult,1,No/Unspecified,Sexual Assault,ACLED,"Woman sexually assaulted by constable. [cite: 607, 608]"
[cite_start]28-Mar-25,Kazakhstan,Altai town,Police officer,Girl,Child/Minor,1,Yes (Victim),Sexual Assault,ACLED,"Girl sexually assaulted. [cite: 608, 609]"
[cite_start]08-Mar-25,Russia,Ufa city,Prison guard,Inmate (Female journalist),Adult,1,No/Unspecified,Strip Search (Extrajudicial),ACLED,"Female inmate stripped searched in shower. [cite: 610, 611]"
[cite_start]10-Mar-25,Russia,Ufa city,Prison guard,Inmate (Female journalist),Adult,1,No/Unspecified,Sexual Harassment,ACLED,"Female inmate touched inappropriately. [cite: 612, 613, 614]"
[cite_start]07-Mar-25,Burundi,Makamba province,CNDD-FDD member,Girl (8-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"8-year-old girl raped. [cite: 780, 781]"
[cite_start]21-Mar-25,Burundi,Makamba province,Imbonerakure,Girl (9-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"9-year-old girl raped. [cite: 782, 783]"
[cite_start]12-Apr-25,Burundi,Rumonge,Imbonerakure,Girl (16-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"16-year-old girl raped and threatened. [cite: 785, 786]"
[cite_start]24-Mar-25,DRC,Kalehe territory,Armed men,Girls,Child/Minor,3,Yes (Victims),Rape/Abduct,OCHA News,"Three girls raped and abducted. [cite: 788, 789]"
[cite_start]25-Mar-25,DRC,Kalehe territory,Armed men,Women,Adult,2,No/Unspecified,Rape/Abduct,OCHA News,"Two women abducted and raped. [cite: 789, 790]"
[cite_start]29-30 Mar 25,DRC,Kalehe territory,Armed men,Women/Girls,Mixed,4,Yes (Girls involved),Rape/Abduct,OCHA News,"Four women/girls abducted and raped. [cite: 791, 792]"
[cite_start]05-Apr-25,DRC,Irumu territory,FARDC soldier,Woman (20yo),Adult,1,Yes (Baby killed),Attempted Rape/Kill,The Voice of Congo,"Woman killed resisting rape; baby also killed. [cite: 793, 794, 795]"
[cite_start]06-Apr-25,DRC,Kalehe territory,Armed men,Women,Adult,2,No/Unspecified,Rape/Abduct,OCHA News,"Two women abducted and raped. [cite: 795, 796]"
[cite_start]11-12 Apr 25,DRC,Goma,M23/Wazalendo,Unspecified,Unknown,72,No/Unspecified,Rape,The Voice of Congo,"72 rapes recorded overnight during clashes. [cite: 796, 797]"
[cite_start]20-Apr-25,DRC,Near Kisangani,Wazalendo,Woman (New mother),Adult,1,No/Unspecified,Strip,Actualite,"Woman stripped by militia searching for c-section scar. [cite: 797, 798]"
[cite_start]29-Apr-25,DRC,Kalehe,Unspecified,Unspecified,Unknown,Multiple,No/Unspecified,Rape,OCHA News,"Multiple rape cases reported. [cite: 799, 800]"
[cite_start]30-Apr-25,DRC,Unspecified,Wazalendo,Man,Adult,1,No/Unspecified,Strip/Beat,Personal Communication,"Man stripped naked and beaten. [cite: 800, 801]"
[cite_start]04-07 Apr 25,Ethiopia,Oromia region,Oromia Special Forces,Women (Amhara),Adult,Unspecified,No/Unspecified,Rape/Sexual Assault,Amhara Association of America,"Unspecified number of Amhara women raped. [cite: 801, 802]"
[cite_start]10-Apr-25,Ethiopia,Debre Birhan city,ENDF member,Girl,Child/Minor,1,Yes (Victim),Rape,Amhara Association of America,"Young girl raped during house raid. [cite: 802, 803]"
[cite_start]26-Apr-25,Ethiopia,South Gondar,ENDF,Man,Adult,1,No/Unspecified,Sexual Mutilation,Amhara War Updates,"Man mutilated and genitalia cut off. [cite: 804, 805]"
[cite_start]20-Apr-25,Kenya,Mandera town,KDF members,Women (inc 15yo),Mixed,5,Yes (15yo victim),Rape,Personal Communication,"Five women raped at gunpoint. [cite: 805, 806]"
[cite_start]25-Apr-25,Mozambique,Zambezia,Naparama paramilitaries,Women/Children,Mixed,Unspecified,Yes (Children victims),Sexual Violence,Anadolu Agency,"Women and children subjected to repeated sexual violence. [cite: 806, 807]"
[cite_start]26-Apr-25,Niger,Niamey,USN gang,Rector (Islamic Univ),Adult,1,No/Unspecified,Strip,Personal Communication,"Rector stripped of clothing. [cite: 807, 808]"
[cite_start]10-Apr-25,South Sudan,Lainya county,Herdsmen,Woman (46-year-old),Adult,1,No/Unspecified,Rape,Wikirumours,"46-year-old woman raped. [cite: 809, 810]"
[cite_start]26-Apr-25,South Sudan,Jur River county,SSPDF soldiers,Woman,Adult,1,No/Unspecified,Rape,Wikirumours,Woman raped by three soldiers. [cite: 810]
[cite_start]06-May-25,Burundi,Mabuga,Imbonerakure,Man (49-year-old),Adult,1,No/Unspecified,Kill/Mutilation,SOS Medias Burundi,"Man killed and genitals removed. [cite: 965, 966]"
[cite_start]07-May-25,Burundi,Mutambara hill,CNDD-FDD member,Girl (6-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"6-year-old girl raped. [cite: 967, 968]"
[cite_start]08-May-25,Burundi,Rwuya hill,CNDD-FDD members,Woman (34-year-old),Adult,1,No/Unspecified,Rape,Ligue Iteka,"34-year-old woman raped. [cite: 969, 970]"
[cite_start]29 Apr-04 May 25,DRC,Bunyakiri,Unspecified,Girls,Child/Minor,4,Yes (Victims),Rape/Abduct,OCHA News,Four girls abducted and raped. [cite: 971]
[cite_start]10-13 May 25,DRC,Unspecified,RDF/M23,People,Unknown,Unspecified,No/Unspecified,Rape,Media Africa Times,"Unspecified number of people raped. [cite: 971, 972]"
[cite_start]24-25 May 25,DRC,Goma,Armed men,Girl,Child/Minor,1,Yes (Victim),Rape/Abduct,DRC News Today,Young girl raped and abducted. [cite: 973]
[cite_start]16-20 May 25,Ethiopia,Alamata town,TPLF forces,Girls,Child/Minor,3,Yes (Victims),Rape,ACLED,"Three girls raped. [cite: 974, 975]"
[cite_start]27-May-25,Mali,Kidal/Anefis,Armed men,Women,Adult,Unspecified,No/Unspecified,Sexual Assault,ACLED,"Unspecified number of women sexually assaulted. [cite: 975, 976]"
[cite_start]02-May-25,Sudan,Central Darfur,Armed men,Woman (25-year-old),Adult,1,No/Unspecified,Kill (Resisting Rape),Sudan Akhbar,"Woman killed resisting rape. [cite: 976, 977]"
[cite_start]16-May-25,Sudan,Unspecified,RSF,Women/Girls,Mixed,30,Yes (Girls victims),Sexual Harassment,Sudan Tribune,"30 women/girls physically/sexually harassed. [cite: 977, 978]"
19-May-25,Sudan,Zamzam/El Fasher,RSF,Women,Adult,10,No/Unspecified,Rape/Torture/Kill,Sudan Tribune,"10 women raped and tortured; [cite_start]3 killed. [cite: 978, 979]"
[cite_start]26-May-25,Sudan,Zamzam Camp,RSF,People,Unknown,Unspecified,No/Unspecified,Rape/Abduct/Kill,Sudan Tribune,"Unspecified number raped/abducted/killed. [cite: 980, 981]"
[cite_start]30-May-25,Sudan,Khartoum,SAF,Woman,Adult,1,No/Unspecified,Rape/Assault,ACLED,"Woman raped and wrist broken. [cite: 981, 982]"
[cite_start]18-22 May 25,Tanzania,Dar es Salaam,Security forces,Activists (Kenyan/Ugandan),Adult,2,No/Unspecified,Strip/Sexual Assault,ACLED/The East African,"Activists stripped and sexually assaulted. [cite: 982, 983, 984]"
[cite_start]06-May-25,Afghanistan,Khost,Taliban member,Boy,Child/Minor,1,Yes (Victim),Sexual Abuse,ACLED,"Boy sexually abused at checkpoint. [cite: 985, 986]"
[cite_start]23-May-25,India,Silchar,Prison officers,Woman,Adult,1,No/Unspecified,Sexual Assault,Times of India,"Woman sexually assaulted by prison officers. [cite: 987, 988]"
[cite_start]04-Jun-25,Burundi,Buyenzi hill,CNDD-FDD member,Girl (5-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"5-year-old girl raped. [cite: 1116, 1117]"
[cite_start]06-Jun-25,Burundi,Nyarunazi hill,Imbonerakure,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape,Ligue Iteka,"17-year-old girl raped. [cite: 1118, 1119]"
[cite_start]01-Jun-25,Cameroon,North West region,Ambazonian separatists,Students,Child/Minor,9,Yes (Victims),Sexual Assault,Mimi Mef Info,"Nine students sexually assaulted. [cite: 1120, 1121]"
[cite_start]10-11 Jun 25,Central African Republic,Nzoro village,3R members,Women,Adult,Unspecified,No/Unspecified,Sexual Abuse,Corbeau News,"Unspecified women sexually abused. [cite: 1122, 1123]"
[cite_start]09 May-16 Jun 25,DRC,Unspecified,Rwandan army/Rebels,Unspecified,Unknown,102,No/Unspecified,Rape,Voice of Congo,"102 rapes committed. [cite: 1123, 1124]"
[cite_start]03-04 Jun 25,DRC,Kanyabayonga,Armed men,People,Unknown,4,No/Unspecified,Sexual Assault,OCHA DRC,"Four people sexually assaulted. [cite: 1124, 1125]"
[cite_start]10-Jun-25,Kenya,Nanyuki,British soldier,Woman,Adult,1,No/Unspecified,Rape,TRT Glo,"Woman raped by British soldier. [cite: 1126, 1127]"
[cite_start]09-Jun-25,Somalia,Garowe,Puntland soldier,Girl,Child/Minor,1,Yes (Victim),Rape,Personal Communication,"Girl raped. [cite: 1128, 1129]"
[cite_start]25-Jun-25,South Sudan,Juba,Unidentified group,Woman,Adult,1,No/Unspecified,Rape,Wiki Rumours,"Woman raped; attack recorded. [cite: 1129, 1130]"
[cite_start]06-Jun-25,Sudan,West Kordofan,RSF,Women,Adult,2,No/Unspecified,Rape,ACLED,"Two women raped. [cite: 1130, 1131]"
[cite_start]08-Jun-25,Sudan,Zalingei,Communal militia,People,Unknown,3,No/Unspecified,Rape,ACLED,"Three people raped. [cite: 1131, 1132]"
[cite_start]19-Jun-25,Sudan,North Darfur,Unspecified,Unspecified,Unknown,95,No/Unspecified,Sexual Assault,Radio Dabanga,"95 cases of sexual assault documented. [cite: 1132, 1133]"
[cite_start]10-Jul-25,Burundi,Nyarunazi hill,Police officer,Girl (17-year-old),Child/Minor,1,Yes (Victim),Rape,Burundi MFFPS,"17-year-old girl raped. [cite: 1261, 1262]"
[cite_start]15-Jul-25,DRC,Kabare territory,M23,Women,Adult,Unspecified,No/Unspecified,Strip,Media Congo,"Women stripped naked. [cite: 1263, 1264]"
[cite_start]21-Jul-25,DRC,Kinshasa,Mobondo militia,Woman,Adult,1,No/Unspecified,Rape/Abduct,Media Congo,"Woman raped and abducted. [cite: 1264, 1265]"
[cite_start]24-Jul-25,DRC,Beni territory,FARDC soldier,Girl (15-year-old),Child/Minor,1,Yes (Victim),Sexual Assault,Radio Okapi,"15-year-old girl sexually assaulted. [cite: 1265, 1266]"
[cite_start]27-Jul-25,DRC,South Kivu,Raia Mutomboki/Wazalendo,Women,Adult,8,No/Unspecified,Rape,UN,"Eight women raped. [cite: 1267, 1268]"
[cite_start]28-Jul-25,DRC,Beni territory,FARDC/Armed groups,Women,Adult,12,No/Unspecified,Rape,Radio Okapi,12 women raped in July. [cite: 1268]
[cite_start]07-Jul-25,Ethiopia,Berber town,OLA,Girls,Child/Minor,2,Yes (Victims),Rape,Borkena,"Two girls raped in front of father. [cite: 1268, 1269]"
[cite_start]09-Jul-25,Ethiopia,Berber town,OLA,Women/Teenagers,Mixed,Unspecified,Yes (Teenagers),Rape,Borkena,"Unspecified number raped in past 5 months. [cite: 1269, 1270]"
[cite_start]14-Jul-25,Somalia,Kismayo,Clan militias,Girl,Child/Minor,1,Yes (Victim),Abduct,Unknown,Girl abducted. [cite: 1271]
[cite_start]03-Aug-25,Burundi,Mwoya hill,CNDD-FDD member,Woman (31-year-old),Adult,1,No/Unspecified,Rape,Ligue Iteka,"31-year-old woman raped. [cite: 1378, 1379]"
[cite_start]02-Aug-25,Cameroon,Makari,Soldier,Girl (14-year-old),Child/Minor,1,Yes (Victim),Rape,Humanity Purpose,"14-year-old girl raped. [cite: 1380, 1381]"
[cite_start]01-Aug-25,DRC,Uvira territory,Armed group,Women/Girls,Mixed,35,Yes (Girls victims),Rape/Abduct,OCHA News,"35 women and girls abducted and raped. [cite: 1382, 1383]"
[cite_start]05-Aug-25,DRC,Elila village,Police officer,Woman,Adult,1,No/Unspecified,Rape,7sur7,"Woman raped in cell. [cite: 1383, 1384]"
[cite_start]20-Aug-25,DRC,Bukavu,M23,Woman,Adult,1,No/Unspecified,Rape,Daily Mail,"Woman raped by 5 fighters. [cite: 1385, 1386]"
[cite_start]20-Aug-25,DRC,Unspecified,Armed group,Woman (Pregnant),Adult,1,Yes (Unborn child),Rape,Daily Mail,"Pregnant woman raped; daughter threatened. [cite: 1386, 1387]"
[cite_start]20-Aug-25,DRC,Unspecified,Wazalendo,Woman,Adult,1,No/Unspecified,Rape,Daily Mail,"Woman raped. [cite: 1387, 1388]"
[cite_start]06-Jul-25,Ethiopia,Donbon kebele,OLA,People,Unknown,Unspecified,No/Unspecified,Rape,Addis Standard,"Unspecified people raped. [cite: 1388, 1389]"
[cite_start]10-Aug-25,Ethiopia,Sanja city,Defense Forces,Girl (8-year-old),Child/Minor,1,Yes (Victim),Rape,NSIR International,"8-year-old girl raped. [cite: 1389, 1390]"
[cite_start]17-Aug-25,Ethiopia,South Wollo,Defense Forces,Girl (10-year-old),Child/Minor,1,Yes (Victim),Rape,NISIR International,"10-year-old girl raped. [cite: 1391, 1392]"
[cite_start]28-Aug-25,Ethiopia,East Shewa,OSF/Militias,Women,Adult,Unspecified,No/Unspecified,Rape,Amhara Association of America,"Unspecified women raped. [cite: 1393, 1394]"
[cite_start]28-Aug-25,Ethiopia,North Shewa,OSF,Women,Adult,Unspecified,No/Unspecified,Sexual Violence,Amhara Association of America,"Unspecified women subjected to sexual violence. [cite: 1394, 1395]"
[cite_start]15-Aug-25,Nigeria,Anambra,Armed men,Boy,Child/Minor,1,Yes (Victim),Kill (Refusing incest),Sahara Reporters,"Boy killed refusing to assault sister. [cite: 1395, 1396]"
[cite_start]19-Aug-25,Nigeria,Anambra,Security operatives,Woman (NYSC),Adult,1,No/Unspecified,Strip/Beat,News Express Nigeria,"NYSC member stripped and beaten. [cite: 1396, 1397]"
[cite_start]26-Aug-25,Somalia,Cadale,Armed group,Women,Adult,3,No/Unspecified,Rape,ACLED,"Three women raped. [cite: 1397, 1398]"
[cite_start]18-Aug-25,Sudan,South Darfur,RSF,Women,Adult,Unspecified,No/Unspecified,Rape/Assault,ACLED,"Unspecified women raped and assaulted. [cite: 1398, 1399]"
[cite_start]08-Aug-25,Indonesia,Luwu regency,Police officer,Female prisoner,Adult,1,No/Unspecified,Sexual Assault,ACLED,"Female prisoner sexually assaulted. [cite: 1399, 1400]"
[cite_start]10-Aug-25,Myanmar,Rakhine,ARSA,Man (54-year-old),Adult,1,No/Unspecified,Strip/Shot,Arakan Bay News,"54-year-old man stripped and shot. [cite: 1402, 1403]"
